Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;06/2007;332.967.570;145.206.396;310.662.151;258.042.577;22.305.419;2.477.168;31.533.728;15,84%;14,17%;4.068;1.246
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2007;248.014.250;95.144.249;219.500.551;140.459.678;28.513.699;597.383;34.915.045;18,52%;23,24%;2.622;743
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2007;237.518.141;51.338.560;226.993.538;200.151.635;10.524.604;1.715.566;18.671.507;33,36%;13,36%;2.031;459
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2007;236.768.552;108.150.431;209.131.851;163.503.300;27.636.702;4.028.058;37.826.934;18,17%;47,43%;3.059;1.090
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2007;188.745.288;67.041.480;165.135.787;53.866.597;23.609.501;4.474.513;40.641.120;29,74%;42,74%;4;0
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2007;152.715.311;54.310.470;141.981.830;80.589.244;10.733.481;1.064.916;11.294.061;12,06%;17,20%;1.123;868
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2007;126.230.025;50.987.424;115.308.765;84.625.672;10.921.260;1.449.187;14.465.447;14,00%;41,26%;969;291
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2007;118.072.974;39.688.911;108.113.340;73.690.671;9.959.634;964.536;13.719.966;16,32%;11,61%;1.074;690
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2007;71.790.490;26.982.593;67.753.956;52.814.052;4.036.535;447.289;4.710.820;12,41%;14,24%;119;14
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2007;67.999.047;27.951.630;63.460.057;47.853.753;4.538.990;546.897;5.376.792;13,15%;31,66%;939;471
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2007;60.049.954;20.757.464;54.421.199;44.619.869;5.628.755;612.395;6.450.782;15,34%;1,44%;104;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2007;45.397.930;11.300.072;41.590.389;17.649.598;3.807.541;448.160;4.260.142;13,74%;16,82%;126;10
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;06/2007;44.951.757;8.205.643;42.049.589;38.242.333;2.902.168;385.526;2.892.306;19,08%;16,47%;548;377
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;06/2007;33.032.322;1.610.406;30.052.772;20.113.159;2.979.549;1.670.922;2.959.658;18,93%;11,06%;10;0
MERRILL LYNCH;51255;b2;;C;3;SAO PAULO;SP;06/2007;17.961.365;0;17.421.608;12.270.807;539.757;142.227;626.550;18,07%;3,25%;2;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2007;17.253.210;6.790.721;15.406.851;13.229.168;1.846.358;725.168;1.843.958;21,12%;17,46%;417;182
BBM;30207;b1;;C;2;SALVADOR;BA;06/2007;16.653.608;3.019.522;15.750.424;12.546.787;903.184;240.387;903.071;17,01%;14,36%;12;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;06/2007;16.596.356;4.830.774;15.544.422;10.277.027;1.051.934;103.433;1.062.417;17,42%;3,94%;6;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2007;14.813.213;2.563.688;13.023.809;8.385.912;1.789.405;590.241;1.786.502;23,95%;2,48%;8;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2007;12.878.742;3.945.252;11.315.677;5.128.419;1.563.065;76.476;1.562.832;18,15%;12,30%;180;4
FIBRA;49951;b1;;C;2;SAO PAULO;SP;06/2007;12.151.494;3.450.391;11.636.380;11.073.633;515.114;37.537;635.194;14,11%;15,35%;2;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2007;11.832.481;5.036.572;10.541.949;8.584.402;1.290.532;81.275;1.277.519;18,00%;11,80%;44;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2007;10.527.624;245.183;9.166.270;6.358.148;1.361.354;116.364;1.359.897;20,29%;3,58%;5;1
ING;51073;b1;;C;3;SAO PAULO;SP;06/2007;10.312.530;241.558;9.865.468;3.016.521;447.062;-5.149;447.018;27,94%;1,21%;2;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2007;9.346.946;398.687;8.865.974;3.340.194;480.971;-47.134;630.238;14,88%;10,49%;2;0
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2007;8.864.191;5.844.976;7.855.384;6.847.600;1.008.807;81.184;1.244.861;17,82%;3,01%;35;0
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;06/2007;6.790.898;6.264.647;5.692.008;5.104.667;1.098.890;26.134;1.098.890;15,42%;26,38%;9;0
BANESTES;30159;b1;;C;1;VITORIA;ES;06/2007;6.601.539;1.747.304;6.141.430;5.667.247;460.109;78.443;454.802;18,78%;25,74%;125;30
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2007;5.972.525;3.010.560;5.440.154;4.540.406;532.371;18.674;758.950;16,17%;28,68%;184;3
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;06/2007;5.679.073;1.142.741;3.917.900;1.935.082;1.761.173;84.518;1.741.735;33,85%;15,08%;102;9
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;06/2007;5.508.324;1.585.482;5.391.649;5.298.678;116.676;4.166;188.626;18,55%;33,48%;5;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;06/2007;5.348.372;3.532.209;4.177.354;2.926.026;1.171.018;253.300;1.162.639;14,17%;6,41%;14;1
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;06/2007;5.087.858;2.072.525;3.636.692;3.329.757;1.451.166;86.121;1.451.166;51,12%;3,52%;15;0
